ENV_VALUE,n_iterations,avg_global_time,avg_time_update,avg_time_affichage,avg_time_for
1,1211,12.2105200000,0.0010787978,0.0100237915,0.0000000000
2,1211,12.2422200000,0.0008758236,0.0100498384,0.0000000000
3,1211,12.2689000000,0.0007029209,0.0100715709,0.0000000000
4,1211,12.0638000000,0.0006217712,0.0098977309,0.0000000000
5,1211,12.4015000000,0.0005807357,0.0101753328,0.0000000000
6,1211,12.7699000000,0.0006004071,0.0104766062,0.0000000000
7,1211,13.1094200000,0.0006024063,0.0107547984,0.0000000000
8,1211,13.3898000000,0.0005938257,0.0109858546,0.0000000000
9,1211,13.7902800000,0.0005650744,0.0113147636,0.0000000000
10,1211,13.8947000000,0.0005521328,0.0114009506,0.0000000000
11,1211,14.3616600000,0.0005234397,0.0117899583,0.0000000000
12,1211,14.3533400000,0.0005150698,0.0117823725,0.0000000000
13,1211,14.7254800000,0.0005284178,0.0120908536,0.0000000000
14,1211,15.0316800000,0.0006876137,0.0123432537,0.0000000000
15,1211,17.1528400000,0.0013291028,0.0140959014,0.0000000000
16,1211,26.4718400000,0.0113266563,0.0184740335,0.0000000000
