ENV_VALUE,n_iterations,avg_global_time,avg_time_update,avg_time_affichage
1,767,3.0781300000,0.0006520886,0.0031542920
2,767,2.9241580000,0.0004273158,0.0031783160
3,767,2.8909060000,0.0003600568,0.0032015800
4,767,3.0834820000,0.0003628308,0.0034364640
5,767,3.5638140000,0.0004131698,0.0039442300
6,767,3.6170620000,0.0004100226,0.0040154880
7,767,3.6477840000,0.0004172624,0.0040551800
8,767,4.1050920000,0.0004842598,0.0045689000
9,767,3.0451400000,0.0004510468,0.0032945320
10,767,3.0542600000,0.0004524304,0.0033043660
11,767,3.0174200000,0.0004447576,0.0032627060
12,767,3.0273480000,0.0004385806,0.0032839580
13,767,3.0502040000,0.0004453896,0.0033042840
14,767,3.0571740000,0.0004485362,0.0033070580
15,767,3.0319400000,0.0004472308,0.0032763520
16,767,3.0768340000,0.0004589518,0.0033198880
