ENV_VALUE,n_iterations,avg_global_time,avg_time_update,avg_time_affichage,avg_time_for
1,564,0.5708254000,0.0000245025,0.0009814885,0.0000003547
2,564,0.5201818000,0.0000156068,0.0009006890,0.0000004775
3,564,0.5235084000,0.0000141263,0.0009077465,0.0000006071
4,564,0.5125308000,0.0000127845,0.0008897937,0.0000005313
5,564,0.5700750000,0.0000150541,0.0009887230,0.0000005837
6,564,0.5784654000,0.0000144204,0.0010042209,0.0000005627
7,564,0.6605240000,0.0000146420,0.0011484660,0.0000006328
8,564,0.6298544000,0.0000139097,0.0010948832,0.0000006533
9,564,0.7331120000,0.0000157129,0.0012752586,0.0000006887
10,564,0.7191462000,0.0000154363,0.0012505226,0.0000007382
11,564,0.7261248000,0.0000172694,0.0012608507,0.0000007363
12,564,0.8037366000,0.0000187727,0.0013964741,0.0000007765
13,564,0.7137114000,0.0000234364,0.0012331852,0.0000007438
14,564,0.6572430000,0.0000238176,0.0011332239,0.0000006908
15,564,0.7005318000,0.0000302377,0.0012040523,0.0000006884
16,564,0.7814238000,0.0001453812,0.0012321326,0.0000007205
