ENV_VALUE,n_iterations,avg_global_time,avg_time_update,avg_time_affichage,avg_time_for
1,767,0.1314364000,0.0001712304,0.0000000214,0.0000087507
2,767,0.1011395200,0.0001316658,0.0000000208,0.0000085662
3,767,0.0800364600,0.0001041640,0.0000000209,0.0000075151
4,767,0.0697836200,0.0000907977,0.0000000232,0.0000073690
5,767,0.0622339600,0.0000809257,0.0000000427,0.0000075462
6,767,0.0606338200,0.0000788355,0.0000000218,0.0000078096
7,767,0.0571352400,0.0000742691,0.0000000226,0.0000080247
8,767,0.0570800400,0.0000741933,0.0000000240,0.0000085511
9,767,0.0570238400,0.0000740421,0.0000000313,0.0000101222
10,767,0.0519303800,0.0000674528,0.0000000252,0.0000094446
11,767,0.0526817200,0.0000684350,0.0000000248,0.0000098437
12,767,0.0504978000,0.0000655428,0.0000000283,0.0000103566
13,767,0.0521860000,0.0000678030,0.0000000250,0.0000106013
14,767,0.0552163000,0.0000715678,0.0000000306,0.0000135909
15,767,0.0632626200,0.0000821892,0.0000000310,0.0000218194
16,767,0.1150028200,0.0001497130,0.0000000230,0.0000603977
