ENV_VALUE,n_iterations,avg_global_time,avg_time_update,avg_time_affichage,avg_time_for
1,1209,14.6637600000,0.0010542787,0.0110596063,0.0000575069
2,1209,14.4306000000,0.0008629943,0.0110575080,0.0000379400
3,1209,14.2225000000,0.0006991874,0.0110523723,0.0000305442
4,1209,13.7662800000,0.0005859082,0.0107895892,0.0000258909
5,1209,13.2640600000,0.0005181665,0.0104420188,0.0000238440
6,1209,13.2483800000,0.0005143902,0.0104322792,0.0000245398
7,1209,13.4971200000,0.0005376828,0.0106143606,0.0000251677
8,1209,14.5496800000,0.0005530075,0.0114691756,0.0000253189
9,1209,14.4076600000,0.0005243191,0.0113802851,0.0000243976
10,1209,14.6865600000,0.0005121074,0.0116228761,0.0000239776
11,1209,15.0448000000,0.0004903847,0.0119410721,0.0000241617
12,1209,15.2939000000,0.0004666993,0.0121706578,0.0000237810
13,1209,15.5437400000,0.0004588660,0.0123851610,0.0000249272
14,1209,15.7722200000,0.0004564051,0.0125766420,0.0000255539
15,1209,16.0193600000,0.0005341141,0.0127036827,0.0000363087
16,1209,17.8036800000,0.0013521979,0.0133616266,0.0002486910
